inegi_entidad,entidad,inegi_municipio,municipio,id_delito,delito,carpetas,tasa,fecha
9,Ciudad de México,9014,Benito Juarez,1200,Homicidio culposo,1,0.22644875943660736,2023-08
9,Ciudad de México,9003,Coyoacan,1200,Homicidio culposo,1,0.1616903692483902,2023-08
9,Ciudad de México,9010,Alvaro Obregon,1200,Homicidio culposo,4,0.5313495993614197,2023-08
9,Ciudad de México,9006,Iztacalco,1200,Homicidio culposo,2,0.5096307396888733,2023-08
9,Ciudad de México,9009,Milpa Alta,1200,Homicidio culposo,1,0.7207051515579224,2023-08
9,Ciudad de México,9007,Iztapalapa,1200,Homicidio culposo,9,0.503022313117981,2023-08
9,Ciudad de México,9016,Miguel Hidalgo,2000,Secuestro,0,0,2023-08
9,Ciudad de México,9004,Cuajimalpa De Morelos,2000,Secuestro,0,0,2023-08
9,Ciudad de México,9002,Azcapotzalco,2000,Secuestro,0,0,2023-08
9,Ciudad de México,9012,Tlalpan,2000,Secuestro,0,0,2023-08
9,Ciudad de México,9003,Coyoacan,2000,Secuestro,1,0.1616903692483902,2023-08
9,Ciudad de México,9006,Iztacalco,2000,Secuestro,0,0,2023-08
9,Ciudad de México,9007,Iztapalapa,2000,Secuestro,0,0,2023-08
9,Ciudad de México,9011,Tlahuac,2000,Secuestro,0,0,2023-08
9,Ciudad de México,9009,Milpa Alta,2000,Secuestro,0,0,2023-08
9,Ciudad de México,9010,Alvaro Obregon,2000,Secuestro,0,0,2023-08
9,Ciudad de México,9013,Xochimilco,2000,Secuestro,0,0,2023-08
9,Ciudad de México,9015,Cuauhtemoc,2000,Secuestro,1,0.18166294693946838,2023-08
9,Ciudad de México,9005,Gustavo A. Madero,2000,Secuestro,0,0,2023-08
9,Ciudad de México,9008,La Magdalena Contreras,2000,Secuestro,0,0,2023-08
9,Ciudad de México,9017,Venustiano Carranza,2000,Secuestro,0,0,2023-08
9,Ciudad de México,9014,Benito Juarez,2000,Secuestro,0,0,2023-08
9,Ciudad de México,9015,Cuauhtemoc,3000,Extorsión,9,1.634966492652893,2023-08
9,Ciudad de México,9008,La Magdalena Contreras,3000,Extorsión,1,0.41059330105781555,2023-08
9,Ciudad de México,9012,Tlalpan,3000,Extorsión,4,0.5882344245910645,2023-08
9,Ciudad de México,9005,Gustavo A. Madero,3000,Extorsión,6,0.5137245655059814,2023-08
9,Ciudad de México,9017,Venustiano Carranza,3000,Extorsión,3,0.6954441666603088,2023-08
9,Ciudad de México,9009,Milpa Alta,3000,Extorsión,1,0.7207051515579224,2023-08
9,Ciudad de México,9010,Alvaro Obregon,3000,Extorsión,3,0.39851221442222595,2023-08
9,Ciudad de México,9013,Xochimilco,3000,Extorsión,3,0.7275407910346985,2023-08
9,Ciudad de México,9014,Benito Juarez,3000,Extorsión,5,1.1322438716888428,2023-08
9,Ciudad de México,9002,Azcapotzalco,3000,Extorsión,1,0.24643835425376892,2023-08
9,Ciudad de México,9011,Tlahuac,3000,Extorsión,0,0,2023-08
9,Ciudad de México,9007,Iztapalapa,3000,Extorsión,9,0.503022313117981,2023-08
